time,source,shape,method,interp,lead_ms,kp,kth,near_goal,battery_v,valid,note,points,duration_s,max_radius_m,max_speed_mps,max_yawrate_rads,start_x_mm,start_y_mm,start_theta_deg,end,end_reason,frames,held,age_median_ms,pos_rms,pos_max,contour_rms,contour_max,along_mean_mm,lag_ms,cross_rms_mm,head_rms,head_max,final_pos_mm,final_head_deg,cmd_accel_rms_mps2,settle_swing_deg,settle_cmd_max_mms,wheels_recorded,data_file,log_file,vision_file,ref_file,eval_file
20260922-100336,poc(on-robot),line0.3@0.2,ffp,hermite,30,3.00,4.00,False,,yes,,215,3.40,0.30,0.20,0.00,-973,-1510,88.2,done,trajectory finished,485,0,4,12.4,23.8,8.1,23.4,-2.0,17,7.3,2.45,7.09,0.2,0.07,0.68,,,False,poc/trajpoc-20260922-100341-ffp-hermite.csv,poc/trajpoc-20260922-100336.log,,,
20260922-100410,poc(on-robot),line0.3@0.2,p,hermite,30,3.00,4.00,False,,yes,,215,3.40,0.30,0.20,0.00,-972,-1510,87.2,done,trajectory finished,480,0,4,49.1,71.3,3.7,11.2,-48.5,294,4.0,1.08,4.06,4.9,1.55,0.42,,,False,poc/trajpoc-20260922-100415-p-hermite.csv,poc/trajpoc-20260922-100410.log,,,
20260922-100419,poc(on-robot),line0.3@0.2,ffp_lead,hermite,30,3.00,4.00,False,,yes,,215,3.40,0.30,0.20,0.00,-972,-1507,87.3,done,trajectory finished,480,0,4,10.8,25.2,7.9,21.5,+2.5,-11,7.2,1.48,4.06,0.5,0.79,0.63,,,False,poc/trajpoc-20260922-100424-ffp_lead-hermite.csv,poc/trajpoc-20260922-100419.log,,,
20260922-100427,poc(on-robot),line0.3@0.2,ffp,hermite,30,3.00,4.00,False,,yes,,215,3.40,0.30,0.20,0.00,-971,-1507,86.6,done,trajectory finished,476,0,3,10.5,21.8,7.1,19.7,-3.0,21,6.3,1.51,4.14,0.2,0.74,0.66,,,False,poc/trajpoc-20260922-100432-ffp-hermite.csv,poc/trajpoc-20260922-100427.log,,,
20260922-100544,poc(on-robot),circle0.6@0.4,ffp,hermite,30,3.00,4.00,False,,yes,,321,5.11,0.60,0.40,0.00,-547,-1136,85.9,done,trajectory finished,669,0,4,18.3,41.2,14.3,29.8,-1.1,-1,15.2,1.95,6.42,0.6,0.20,0.86,,,False,poc/trajpoc-20260922-100550-ffp-hermite.csv,poc/trajpoc-20260922-100544.log,,,
20260922-100554,poc(on-robot),circle0.6@0.4,ffp_lead,hermite,30,3.00,4.00,False,,yes,,321,5.11,0.60,0.40,0.00,-548,-1136,85.9,done,trajectory finished,682,0,4,22.8,46.2,16.2,36.6,+8.1,-25,16.9,2.44,7.76,1.0,0.27,0.79,,,False,poc/trajpoc-20260922-100600-ffp_lead-hermite.csv,poc/trajpoc-20260922-100554.log,,,
20260922-101004,poc(on-robot),fig8_0.6@0.4,ffp,hermite,30,3.00,4.00,False,,yes,,616,9.82,0.60,0.40,0.00,149,-869,93.8,done,trajectory finished,1216,0,5,16.4,35.9,13.1,30.9,-5.7,15,14.2,2.17,8.25,2.6,0.70,0.82,,,False,poc/trajpoc-20260922-101015-ffp-hermite.csv,poc/trajpoc-20260922-101004.log,,,
20260922-101018,poc(on-robot),"other(dur=6.58,r=0.60,v=0.30)",ffp,hermite,30,3.00,4.00,False,,yes,,413,6.58,0.60,0.30,0.00,149,-870,94.3,done,trajectory finished,843,0,4,13.6,33.2,9.6,29.2,-4.9,10,10.1,1.82,4.45,0.6,0.75,0.63,,,False,poc/trajpoc-20260922-101027-ffp-hermite.csv,poc/trajpoc-20260922-101018.log,,,
20260922-101030,poc(on-robot),"other(dur=4.64,r=0.60,v=0.45)",ffp,hermite,30,3.00,4.00,False,,yes,,291,4.64,0.60,0.45,0.00,149,-870,95.3,done,trajectory finished,619,0,4,20.3,45.5,15.4,33.3,-9.0,19,16.4,1.60,5.53,1.4,0.16,0.89,,,False,poc/trajpoc-20260922-101036-ffp-hermite.csv,poc/trajpoc-20260922-101030.log,,,
20260922-101252,poc(on-robot),"other(dur=4.64,r=0.60,v=0.45)",ffp,hermite,30,3.00,4.00,False,,yes,,291,4.64,0.60,0.45,0.00,-206,-1174,85.9,done,trajectory finished,543,0,4,22.3,46.8,17.8,40.7,-6.3,8,18.9,2.16,6.84,1.2,0.34,1.00,,,,,poc/trajpoc-20260922-101252.log,,,
20260922-101324,poc(on-robot),"other(dur=4.64,r=0.60,v=0.45)",ffp,hermite,30,3.00,4.00,False,,yes,,291,4.64,0.60,0.45,0.00,-207,-1174,85.9,done,trajectory finished,535,0,4,20.3,39.6,16.7,37.6,-4.0,4,18.0,1.90,5.38,0.6,0.18,1.04,,,,,poc/trajpoc-20260922-101324.log,,,
