t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s
-0.2940,-0.2951,1.1,0,-1035.9,-1243.9,1.5241,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,-2.4,0.1,-0.0091,0.0,2.4
-0.2857,-0.2879,2.2,0,-1037.0,-1243.8,1.5231,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,0.9,-0.0,-0.0051,0.0,-0.9
-0.2772,-0.2794,2.2,0,-1036.9,-1243.8,1.5243,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,0.4,-0.1,-0.0098,-0.1,-0.4
-0.2695,-0.2707,1.2,0,-1036.8,-1243.7,1.5173,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,0.1,-0.5,0.0182,-0.5,-0.2
-0.2612,-0.2624,1.2,0,-1036.5,-1243.9,1.5136,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,-0.8,0.1,0.0326,0.0,0.8
-0.2537,-0.2538,0.1,0,-1036.6,-1243.9,1.5235,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,-0.5,0.0,-0.0068,0.0,0.5
-0.2462,-0.2538,7.6,0,-1036.6,-1243.9,1.5235,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,-0.5,0.0,-0.0068,0.0,0.5
-0.2377,-0.2442,6.5,0,-1036.3,-1243.7,1.5188,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,-1.4,-0.4,0.0121,-0.5,1.3
-0.2294,-0.2369,7.5,0,-1036.5,-1244.1,1.5192,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,-0.7,0.8,0.0104,0.8,0.7
-0.2219,-0.2285,6.5,0,-1036.1,-1244.1,1.5070,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,-1.8,0.9,0.0591,0.8,1.9
-0.2133,-0.2199,6.6,0,-1035.9,-1244.0,1.5076,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,-2.6,0.5,0.0567,0.3,2.6
-0.2055,-0.2115,5.9,0,-1036.3,-1243.8,1.5175,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,-1.3,-0.2,0.0173,-0.3,1.3
-0.1980,-0.2033,5.3,0,-1036.8,-1243.8,1.5182,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,0.3,-0.2,0.0145,-0.2,-0.3
-0.1896,-0.1950,5.4,0,-1037.2,-1243.1,1.4976,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,1.3,-2.4,0.0966,-2.3,-1.4
-0.1822,-0.1865,4.2,0,-1036.2,-1244.0,1.5046,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,-1.8,0.5,0.0688,0.4,1.8
-0.1732,-0.1781,4.9,0,-1036.6,-1243.2,1.5208,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,-0.3,-2.0,0.0041,-2.0,0.2
-0.1653,-0.1694,4.0,0,-1035.8,-1244.2,1.5059,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,-2.8,0.9,0.0635,0.7,2.8
-0.1576,-0.1609,3.3,0,-1036.8,-1244.0,1.5202,-1036.7,-1243.9,1.5218,0.0,0.0,0.0000,0.1,0.4,0.0062,0.5,-0.1
