t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s
-0.2997,-0.3033,3.5,0,-972.4,-1509.5,1.5222,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0
-0.2928,-0.3033,10.5,0,-972.4,-1509.5,1.5222,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0
-0.2846,-0.2857,1.1,0,-972.9,-1509.7,1.5261,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,1.5,0.6,-0.0157,0.7,-1.4
-0.2768,-0.2779,1.2,0,-972.1,-1510.2,1.5244,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.8,2.2,-0.0090,2.1,0.9
-0.2684,-0.2696,1.2,0,-972.5,-1510.8,1.5205,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,0.4,3.8,0.0067,3.8,-0.2
-0.2602,-0.2696,9.4,0,-972.5,-1510.8,1.5205,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,0.4,3.8,0.0067,3.8,-0.2
-0.2524,-0.2525,0.1,0,-972.3,-1509.7,1.5271,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.3,0.6,-0.0197,0.6,0.3
-0.2445,-0.2525,8.0,0,-972.3,-1509.7,1.5271,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.3,0.6,-0.0197,0.6,0.3
-0.2369,-0.2441,7.1,0,-972.1,-1509.7,1.5196,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.7,0.6,0.0101,0.6,0.7
-0.2290,-0.2343,5.4,0,-972.3,-1509.7,1.5200,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.2,0.5,0.0087,0.5,0.2
-0.2206,-0.2252,4.5,0,-972.3,-1510.4,1.5207,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.2,2.6,0.0058,2.6,0.3
-0.2127,-0.2182,5.5,0,-972.2,-1509.5,1.5183,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.6,0.0,0.0156,-0.0,0.6
-0.2039,-0.2095,5.6,0,-972.9,-1510.3,1.5218,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,1.6,2.4,0.0016,2.5,-1.4
-0.1963,-0.2018,5.5,0,-972.8,-1510.0,1.5292,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,1.2,1.4,-0.0281,1.5,-1.1
-0.1886,-0.1919,3.3,0,-972.5,-1510.1,1.5217,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,0.5,1.6,0.0018,1.7,-0.4
-0.1803,-0.1851,4.7,0,-972.7,-1509.7,1.5189,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,1.0,0.7,0.0130,0.8,-0.9
-0.1727,-0.1764,3.7,0,-972.6,-1510.4,1.5209,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,0.6,2.7,0.0052,2.8,-0.5
-0.1646,-0.1680,3.4,0,-972.4,-1509.5,1.5232,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.0,-0.1,-0.0043,-0.1,0.0
-0.1562,-0.1588,2.5,0,-972.6,-1510.0,1.5279,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,0.8,1.4,-0.0230,1.4,-0.7
-0.1485,-0.1588,10.3,0,-972.6,-1510.0,1.5279,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,0.8,1.4,-0.0230,1.4,-0.7
-0.1407,-0.1430,2.3,0,-972.4,-1509.2,1.5226,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.0,-0.8,-0.0017,-0.8,-0.0
-0.1319,-0.1344,2.4,0,-972.3,-1509.4,1.5213,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.1,-0.4,0.0035,-0.4,0.1
-0.1245,-0.1246,0.1,0,-972.4,-1510.1,1.5234,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.1,1.7,-0.0051,1.7,0.2
-0.1159,-0.1172,1.3,0,-972.7,-1510.0,1.5285,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,1.0,1.5,-0.0255,1.6,-1.0
-0.1087,-0.1088,0.1,0,-972.3,-1509.7,1.5234,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.1,0.5,-0.0048,0.5,0.2
-0.1002,-0.1004,0.2,0,-972.2,-1510.4,1.5220,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.4,2.5,0.0006,2.5,0.6
-0.0922,-0.1004,8.1,0,-972.2,-1510.4,1.5220,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.4,2.5,0.0006,2.5,0.6
-0.0848,-0.0914,6.6,0,-972.6,-1509.5,1.5226,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,0.6,0.1,-0.0018,0.1,-0.6
-0.0763,-0.0830,6.7,0,-972.4,-1509.7,1.5180,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.1,0.7,0.0169,0.7,0.1
-0.0686,-0.0750,6.4,0,-972.2,-1509.8,1.5221,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,-0.7,0.9,0.0002,0.9,0.7
-0.0606,-0.0660,5.4,0,-973.1,-1509.9,1.5217,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,2.3,1.1,0.0018,1.2,-2.2
-0.0525,-0.0581,5.6,0,-972.6,-1510.1,1.5278,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,0.6,1.7,-0.0225,1.7,-0.5
-0.0437,-0.0495,5.8,0,-972.5,-1510.1,1.5206,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,0.5,1.6,0.0064,1.6,-0.4
-0.0366,-0.0411,4.4,0,-972.4,-1509.6,1.5263,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,0.2,0.4,-0.0166,0.4,-0.2
-0.0284,-0.0329,4.5,0,-973.0,-1510.3,1.5268,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,1.8,2.4,-0.0186,2.5,-1.7
-0.0209,-0.0239,3.0,0,-973.3,-1509.6,1.5245,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,2.7,0.2,-0.0095,0.3,-2.7
-0.0124,-0.0157,3.3,0,-972.6,-1509.6,1.5190,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,0.6,0.4,0.0127,0.4,-0.6
-0.0049,-0.0064,1.5,0,-972.5,-1510.1,1.5263,-972.4,-1509.5,1.5222,0.0,0.0,0.0000,0.3,1.9,-0.0167,1.9,-0.2
0.0038,0.0011,2.7,0,-972.3,-1510.1,1.5168,-972.4,-1509.5,1.5222,0.3,7.1,0.0000,-0.2,1.9,0.0214,1.9,0.3
0.0119,0.0095,2.4,0,-972.3,-1509.9,1.5224,-972.4,-1509.5,1.5222,0.3,7.1,-0.0000,-0.3,1.5,-0.0011,1.5,0.4
0.0192,0.0179,1.3,0,-972.4,-1510.1,1.5231,-972.4,-1509.4,1.5222,0.9,17.7,0.0000,-0.0,2.3,-0.0038,2.3,0.1
0.0275,0.0262,1.2,0,-972.6,-1510.0,1.5184,-972.4,-1509.2,1.5222,1.3,25.9,0.0000,0.8,2.5,0.0153,2.6,-0.7
0.0363,0.0348,1.4,0,-972.8,-1510.1,1.5202,-972.4,-1508.9,1.5222,1.7,34.7,-0.0000,1.2,3.7,0.0079,3.7,-1.1
0.0446,0.0445,0.0,0,-972.5,-1509.6,1.5208,-972.3,-1508.5,1.5222,2.2,44.5,0.0000,0.4,3.3,0.0053,3.3,-0.2
0.0522,0.0521,0.2,0,-972.2,-1509.5,1.5228,-972.3,-1508.2,1.5222,2.5,52.3,0.0000,-0.4,4.0,-0.0024,4.0,0.6
0.0595,0.0521,7.5,0,-972.2,-1509.5,1.5228,-972.3,-1508.2,1.5222,2.5,52.3,0.0000,-0.3,5.2,-0.0024,5.2,0.6
0.0672,0.0600,7.2,0,-972.7,-1510.6,1.5258,-972.3,-1507.7,1.5222,2.9,60.1,-0.0000,1.2,10.0,-0.0146,10.1,-0.7
0.0758,0.0684,7.4,0,-972.3,-1509.6,1.5228,-972.3,-1507.2,1.5222,3.3,68.2,0.0000,0.2,8.8,-0.0027,8.8,0.2
0.0831,0.0769,6.2,0,-972.5,-1509.3,1.5278,-972.2,-1506.6,1.5222,3.7,76.7,-0.0000,0.8,9.8,-0.0225,9.8,-0.4
0.0918,0.0855,6.4,0,-972.3,-1509.9,1.5229,-972.2,-1505.9,1.5222,4.2,85.5,-0.0000,0.3,13.8,-0.0029,13.8,0.4
0.1003,0.0977,2.6,0,-972.3,-1509.9,1.5204,-972.1,-1504.7,1.5222,4.7,97.4,0.0000,0.6,16.1,0.0069,16.2,0.2
0.1081,0.1025,5.6,0,-972.7,-1509.5,1.5268,-972.1,-1504.3,1.5222,5.0,102.1,-0.0000,1.8,17.3,-0.0184,17.4,-1.0
0.1152,0.1108,4.4,0,-972.4,-1509.6,1.5243,-972.1,-1503.4,1.5222,5.4,110.5,-0.0000,1.1,20.1,-0.0087,20.1,-0.2
0.1237,0.1192,4.5,0,-972.1,-1509.7,1.5258,-972.0,-1502.4,1.5222,5.8,119.1,-0.0000,0.4,23.4,-0.0146,23.4,0.7
0.1315,0.1279,3.6,0,-972.3,-1510.3,1.5203,-972.0,-1501.3,1.5222,6.2,127.9,-0.0000,1.1,28.2,0.0075,28.2,0.4
0.1396,0.1362,3.4,0,-972.4,-1509.7,1.5167,-971.9,-1500.2,1.5222,6.6,136.4,0.0000,1.5,29.9,0.0218,29.9,0.1
0.1477,0.1452,2.4,0,-972.4,-1509.5,1.5241,-971.9,-1499.0,1.5222,7.1,145.1,0.0000,1.7,32.8,-0.0076,32.8,-0.2
0.1561,0.1534,2.7,0,-972.6,-1509.8,1.5269,-971.8,-1497.8,1.5222,7.4,153.0,0.0000,2.4,37.4,-0.0190,37.5,-0.8
0.1639,0.1616,2.3,0,-972.3,-1509.8,1.5278,-971.7,-1496.5,1.5222,7.9,161.5,-0.0000,1.6,41.1,-0.0224,41.2,0.2
0.1711,0.1699,1.2,0,-972.2,-1509.7,1.5177,-971.7,-1495.1,1.5222,8.3,169.9,0.0000,1.7,44.4,0.0181,44.4,0.6
0.1800,0.1785,1.4,0,-972.4,-1509.6,1.5292,-971.6,-1493.6,1.5222,8.7,178.4,0.0000,2.5,48.8,-0.0280,48.8,-0.5
0.1871,0.1870,0.1,0,-972.5,-1509.6,1.5275,-971.5,-1492.0,1.5222,9.1,186.4,0.0000,2.8,52.7,-0.0212,52.8,-0.5
0.1956,0.1870,8.6,0,-972.5,-1509.6,1.5275,-971.5,-1492.0,1.5222,9.1,186.4,0.0000,3.0,57.5,-0.0212,57.6,-0.5
0.2033,0.2001,3.3,0,-972.3,-1508.9,1.5203,-971.4,-1489.5,1.5222,9.7,199.5,-0.0000,2.7,59.9,0.0075,60.0,0.3
0.2120,0.2042,7.8,0,-972.8,-1509.8,1.5236,-971.4,-1488.7,1.5222,9.7,200.3,-0.0000,4.5,67.8,-0.0056,67.9,-1.3
0.2199,0.2124,7.4,0,-972.9,-1509.2,1.5351,-971.3,-1487.1,1.5222,9.7,199.6,0.0000,5.0,70.8,-0.0516,70.9,-2.4
0.2271,0.2205,6.6,0,-972.2,-1509.0,1.5268,-971.2,-1485.4,1.5222,9.7,200.0,0.0000,3.3,74.5,-0.0187,74.6,0.0
0.2358,0.2293,6.5,0,-972.2,-1508.9,1.5235,-971.1,-1483.7,1.5222,9.7,199.8,-0.0000,3.5,79.4,-0.0053,79.5,0.3
0.2431,0.2377,5.5,0,-972.2,-1508.9,1.5269,-971.0,-1482.0,1.5222,9.7,199.8,0.0000,3.6,83.9,-0.0189,83.9,0.0
0.2516,0.2448,6.7,0,-972.3,-1508.6,1.5242,-971.0,-1480.6,1.5222,9.7,199.8,-0.0000,4.3,88.2,-0.0080,88.3,-0.2
0.2598,0.2548,5.0,0,-972.2,-1508.9,1.5287,-970.9,-1478.6,1.5222,9.7,199.8,0.0000,4.2,94.0,-0.0262,94.1,-0.3
0.2679,0.2629,4.9,0,-972.1,-1508.5,1.5287,-970.8,-1477.0,1.5222,9.7,199.8,0.0000,4.1,97.6,-0.0259,97.6,0.1
0.2756,0.2720,3.7,0,-972.4,-1508.5,1.5240,-970.7,-1475.2,1.5222,9.7,199.8,0.0000,5.2,102.3,-0.0073,102.4,-0.4
0.2840,0.2800,4.0,0,-972.4,-1508.4,1.5285,-970.6,-1473.6,1.5222,9.7,199.8,0.0000,5.4,107.0,-0.0254,107.2,-0.9
0.2913,0.2882,3.1,0,-972.5,-1508.0,1.5341,-970.6,-1471.9,1.5222,9.7,199.8,-0.0000,6.1,110.3,-0.0477,110.4,-2.0
0.2991,0.2976,1.5,0,-972.3,-1508.2,1.5325,-970.5,-1470.0,1.5222,9.7,199.8,-0.0000,5.5,115.4,-0.0414,115.6,-1.0
0.3077,0.3054,2.3,0,-972.0,-1508.1,1.5285,-970.4,-1468.5,1.5222,9.7,199.8,-0.0000,5.1,120.3,-0.0252,120.4,0.0
0.3158,0.3134,2.4,0,-971.9,-1507.6,1.5381,-970.3,-1466.9,1.5222,9.7,199.8,0.0000,4.9,123.6,-0.0637,123.7,-0.9
0.3238,0.3223,1.4,0,-971.9,-1507.5,1.5351,-970.2,-1465.1,1.5222,9.7,199.8,0.0000,5.0,128.1,-0.0515,128.2,-0.4
0.3319,0.3307,1.2,0,-972.0,-1506.9,1.5253,-970.1,-1463.4,1.5222,9.7,199.8,0.0000,5.7,131.1,-0.0127,131.3,0.2
