t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s
-0.2997,-0.3062,6.5,0,-971.7,-1507.5,1.5229,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0
-0.2911,-0.2984,7.3,0,-971.6,-1507.4,1.5234,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-0.3,-0.1,-0.0018,-0.1,0.3
-0.2830,-0.2872,4.2,0,-971.6,-1507.4,1.5189,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-0.3,-0.3,0.0162,-0.3,0.3
-0.2755,-0.2798,4.3,0,-971.7,-1507.1,1.5229,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-0.0,-1.1,0.0001,-1.1,-0.0
-0.2678,-0.2710,3.2,0,-971.6,-1507.3,1.5191,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-0.5,-0.4,0.0154,-0.4,0.5
-0.2597,-0.2630,3.3,0,-972.0,-1507.6,1.5155,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,0.9,0.4,0.0296,0.5,-0.9
-0.2515,-0.2538,2.2,0,-971.8,-1507.3,1.5167,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,0.3,-0.6,0.0248,-0.6,-0.3
-0.2437,-0.2460,2.3,0,-971.7,-1507.5,1.5240,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-0.2,0.0,-0.0045,0.0,0.2
-0.2352,-0.2375,2.3,0,-971.7,-1507.5,1.5254,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-0.1,0.2,-0.0096,0.2,0.1
-0.2275,-0.2288,1.3,0,-971.4,-1507.3,1.5195,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-1.1,-0.5,0.0140,-0.6,1.1
-0.2189,-0.2202,1.3,0,-971.8,-1507.5,1.5234,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,0.1,0.2,-0.0021,0.2,-0.1
-0.2119,-0.2120,0.1,0,-971.6,-1507.7,1.5240,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-0.4,0.7,-0.0043,0.7,0.4
-0.2034,-0.2035,0.1,0,-971.7,-1506.8,1.5084,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-0.1,-2.0,0.0582,-2.0,0.0
-0.1953,-0.1954,0.1,0,-971.8,-1507.2,1.5180,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,0.1,-0.9,0.0196,-0.9,-0.2
-0.1868,-0.1954,8.6,0,-971.8,-1507.2,1.5180,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,0.1,-0.8,0.0189,-0.8,-0.2
-0.1789,-0.1863,7.4,0,-971.7,-1507.4,1.5233,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,0.0,-0.3,-0.0018,-0.3,-0.0
-0.1711,-0.1785,7.3,0,-971.7,-1507.3,1.5214,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-0.2,-0.5,0.0063,-0.5,0.1
-0.1629,-0.1694,6.5,0,-971.8,-1507.2,1.5205,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,0.1,-0.8,0.0095,-0.8,-0.2
-0.1553,-0.1610,5.8,0,-971.6,-1507.4,1.5191,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-0.5,-0.1,0.0150,-0.1,0.5
-0.1477,-0.1525,4.8,0,-971.7,-1507.1,1.5154,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-0.2,-1.1,0.0298,-1.1,0.1
-0.1392,-0.1446,5.5,0,-971.5,-1507.5,1.5189,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-0.6,0.0,0.0157,-0.0,0.6
-0.1313,-0.1350,3.7,0,-971.5,-1507.3,1.5217,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-0.7,-0.4,0.0047,-0.4,0.6
-0.1230,-0.1275,4.5,0,-971.7,-1507.2,1.5194,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,-0.2,-0.9,0.0141,-0.9,0.2
-0.1155,-0.1191,3.6,0,-971.8,-1507.4,1.5204,-971.7,-1507.5,1.5229,0.0,0.0,0.0000,0.1,-0.2,0.0101,-0.2,-0.1
