t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s
-0.2924,-0.2924,0.1,0,-387.6,-833.1,1.3570,-387.7,-833.1,1.3552,0.0,0.0,0.0000,-0.4,-0.0,-0.0074,-0.1,0.4
-0.2837,-0.2859,2.3,0,-387.5,-833.3,1.3613,-387.7,-833.1,1.3552,0.0,0.0,0.0000,-0.5,0.6,-0.0242,0.4,0.6
-0.2762,-0.2859,9.8,0,-387.5,-833.3,1.3613,-387.7,-833.1,1.3552,0.0,0.0,0.0000,-0.5,0.6,-0.0242,0.4,0.6
-0.2681,-0.2692,1.1,0,-387.6,-832.7,1.3587,-387.7,-833.1,1.3552,0.0,0.0,0.0000,-0.2,-1.1,-0.0141,-1.1,-0.0
-0.2598,-0.2692,9.4,0,-387.6,-832.7,1.3587,-387.7,-833.1,1.3552,0.0,0.0,0.0000,-0.2,-1.1,-0.0141,-1.1,-0.0
-0.2526,-0.2589,6.4,0,-387.7,-833.0,1.3507,-387.7,-833.1,1.3552,0.0,0.0,0.0000,0.1,-0.4,0.0181,-0.3,-0.2
-0.2435,-0.2437,0.2,0,-387.7,-833.1,1.3575,-387.7,-833.1,1.3552,0.0,0.0,0.0000,0.0,0.2,-0.0094,0.2,-0.0
-0.2359,-0.2437,7.8,0,-387.7,-833.1,1.3575,-387.7,-833.1,1.3552,0.0,0.0,0.0000,0.0,0.2,-0.0094,0.2,-0.0
-0.2279,-0.2354,7.5,0,-387.7,-833.3,1.3584,-387.7,-833.1,1.3552,0.0,0.0,0.0000,0.1,0.6,-0.0129,0.6,-0.0
-0.2195,-0.2251,5.6,0,-387.7,-832.9,1.3574,-387.7,-833.1,1.3552,0.0,0.0,0.0000,0.1,-0.7,-0.0086,-0.7,-0.2
-0.2121,-0.2179,5.8,0,-387.6,-832.9,1.3533,-387.7,-833.1,1.3552,0.0,0.0,0.0000,-0.3,-0.6,0.0075,-0.6,0.1
-0.2041,-0.2096,5.4,0,-387.7,-833.1,1.3561,-387.7,-833.1,1.3552,0.0,0.0,0.0000,0.2,-0.1,-0.0035,-0.0,-0.2
-0.1966,-0.2015,4.9,0,-387.4,-832.9,1.3603,-387.7,-833.1,1.3552,0.0,0.0,0.0000,-0.8,-0.6,-0.0205,-0.8,0.7
-0.1882,-0.1929,4.7,0,-387.6,-832.5,1.3590,-387.7,-833.1,1.3552,0.0,0.0,0.0000,-0.2,-1.9,-0.0150,-1.9,-0.2
-0.1805,-0.1839,3.4,0,-387.5,-833.1,1.3590,-387.7,-833.1,1.3552,0.0,0.0,0.0000,-0.4,0.0,-0.0153,-0.1,0.4
-0.1719,-0.1761,4.2,0,-387.5,-832.9,1.3600,-387.7,-833.1,1.3552,0.0,0.0,0.0000,-0.5,-0.4,-0.0194,-0.5,0.4
