t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad
-0.2998,-0.3070,7.2,0,-395.0,-828.8,1.3632,-395.0,-828.8,1.3632,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000
-0.2922,-0.2994,7.2,0,-394.6,-828.9,1.3637,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.0,0.3,-0.0021,0.1,1.0,0,0.0,0.0,0.0000
-0.2835,-0.2889,5.4,0,-394.6,-828.9,1.3635,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.2,0.3,-0.0012,0.0,1.2,0,0.0,0.0,0.0000
-0.2759,-0.2793,3.3,0,-394.6,-828.9,1.3625,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.1,0.4,0.0026,0.2,1.1,0,0.0,0.0,0.0000
-0.2679,-0.2721,4.2,0,-394.5,-828.8,1.3640,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.3,0.0,-0.0034,-0.2,1.3,0,0.0,0.0,0.0000
-0.2601,-0.2634,3.3,0,-394.2,-829.0,1.3636,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-2.3,0.5,-0.0017,0.0,2.3,0,0.0,0.0,0.0000
-0.2506,-0.2566,5.9,0,-394.7,-828.9,1.3636,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-0.9,0.3,-0.0016,0.1,0.9,0,0.0,0.0,0.0000
-0.2443,-0.2464,2.1,0,-394.4,-828.9,1.3615,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.6,0.4,0.0066,0.1,1.6,0,0.0,0.0,0.0000
-0.2359,-0.2382,2.3,0,-394.9,-828.7,1.3636,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-0.2,-0.2,-0.0016,-0.2,0.2,0,0.0,0.0,0.0000
-0.2276,-0.2299,2.3,0,-394.7,-828.9,1.3637,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-0.8,0.3,-0.0020,0.1,0.8,0,0.0,0.0,0.0000
-0.2203,-0.2214,1.1,0,-394.6,-829.0,1.3634,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.0,0.6,-0.0010,0.4,1.1,0,0.0,0.0,0.0000
-0.2120,-0.2131,1.1,0,-394.9,-829.1,1.3647,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-0.1,0.8,-0.0064,0.8,0.2,0,0.0,0.0,0.0000
-0.2034,-0.2046,1.2,0,-394.9,-828.7,1.3671,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-0.1,-0.2,-0.0158,-0.3,0.0,0,0.0,0.0,0.0000
-0.1957,-0.1959,0.2,0,-394.7,-828.8,1.3636,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-0.8,-0.0,-0.0017,-0.2,0.7,0,0.0,0.0,0.0000
-0.1873,-0.1874,0.1,0,-394.9,-828.8,1.3620,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-0.2,-0.1,0.0045,-0.1,0.2,0,0.0,0.0,0.0000
-0.1795,-0.1874,7.8,0,-394.9,-828.8,1.3620,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-0.2,-0.1,0.0045,-0.1,0.2,0,0.0,0.0,0.0000
-0.1721,-0.1753,3.3,0,-394.4,-828.9,1.3621,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.5,0.4,0.0041,0.1,1.6,0,0.0,0.0,0.0000
-0.1635,-0.1706,7.1,0,-395.1,-828.9,1.3678,-395.0,-828.8,1.3632,0.0,0.0,0.0000,0.4,0.3,-0.0185,0.4,-0.3,0,0.0,0.0,0.0000
-0.1562,-0.1618,5.6,0,-394.6,-829.1,1.3652,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.2,1.0,-0.0083,0.7,1.4,0,0.0,0.0,0.0000
-0.1476,-0.1534,5.8,0,-394.7,-829.0,1.3620,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-0.7,0.7,0.0045,0.5,0.9,0,0.0,0.0,0.0000
-0.1392,-0.1450,5.8,0,-394.5,-828.9,1.3633,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.3,0.3,-0.0006,0.1,1.3,0,0.0,0.0,0.0000
-0.1319,-0.1367,4.8,0,-394.6,-829.0,1.3621,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.1,0.5,0.0041,0.3,1.2,0,0.0,0.0,0.0000
-0.1242,-0.1367,12.4,0,-394.6,-829.0,1.3621,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.1,0.5,0.0041,0.3,1.2,0,0.0,0.0,0.0000
-0.1154,-0.1197,4.3,0,-394.6,-828.9,1.3625,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.1,0.4,0.0028,0.1,1.1,0,0.0,0.0,0.0000
-0.1078,-0.1124,4.6,0,-394.6,-828.9,1.3610,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.2,0.2,0.0088,-0.1,1.2,0,0.0,0.0,0.0000
-0.0992,-0.1029,3.8,0,-394.5,-829.1,1.3647,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.3,0.8,-0.0062,0.5,1.5,0,0.0,0.0,0.0000
-0.0914,-0.1029,11.6,0,-394.5,-829.1,1.3647,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-1.3,0.8,-0.0062,0.5,1.5,0,0.0,0.0,0.0000
-0.0840,-0.0863,2.3,0,-394.4,-828.8,1.3638,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-0.2,7.0,-0.0027,6.8,1.7,0,0.0,0.0,0.0000
-0.0756,-0.0863,10.7,0,-394.4,-828.8,1.3638,-395.0,-828.8,1.3632,0.0,0.0,0.0000,-0.3,6.8,-0.0027,6.6,1.7,0,0.0,0.0,0.0000
-0.0673,-0.0690,1.7,0,-394.6,-828.9,1.3629,-395.0,-828.8,1.3632,0.0,0.0,0.0000,2.7,17.3,0.0012,17.5,1.0,0,0.0,0.0,0.0000
-0.0592,-0.0606,1.4,0,-394.8,-828.9,1.3626,-395.0,-828.8,1.3632,0.0,0.0,0.0000,4.7,25.4,0.0023,25.8,0.6,0,0.0,0.0,0.0000
-0.0521,-0.0523,0.2,0,-394.6,-828.8,1.3607,-395.0,-828.8,1.3632,0.0,0.0,0.0000,5.2,32.2,0.0097,32.6,1.7,0,0.0,0.0,0.0000
-0.0438,-0.0523,8.5,0,-394.6,-828.8,1.3607,-395.0,-828.8,1.3632,0.0,0.0,0.0000,6.6,40.5,0.0097,41.0,2.0,0,0.0,0.0,0.0000
-0.0357,-0.0434,7.7,0,-394.7,-828.9,1.3630,-395.0,-828.8,1.3632,0.0,0.0,0.0000,8.7,48.9,0.0008,49.6,1.6,0,0.0,0.0,0.0000
-0.0279,-0.0354,7.5,0,-394.5,-828.9,1.3606,-395.0,-828.8,1.3632,0.0,0.0,0.0000,9.9,56.8,0.0103,57.6,2.2,0,0.0,0.0,0.0000
-0.0200,-0.0266,6.5,0,-395.1,-828.8,1.3635,-395.0,-828.8,1.3632,0.0,0.0,0.0000,13.3,63.8,-0.0014,65.1,0.1,0,0.0,0.0,0.0000
-0.0116,-0.0186,6.9,0,-394.5,-828.8,1.3631,-395.0,-828.8,1.3632,0.0,0.0,0.0000,13.2,71.8,0.0001,73.0,1.9,0,0.0,0.0,0.0000
-0.0043,-0.0097,5.4,0,-395.1,-828.8,1.3652,-395.0,-828.8,1.3632,0.0,0.0,0.0000,16.6,79.0,-0.0082,80.7,-0.1,0,0.0,0.0,0.0000
0.0045,-0.0018,6.3,0,-395.2,-828.7,1.3642,-395.0,-828.8,1.3632,0.0,0.0,0.0000,18.6,87.7,-0.0044,89.7,-0.2,0,0.0,0.0,0.0000
0.0122,0.0079,4.3,0,-394.1,-828.9,1.3622,-395.0,-828.7,1.3632,1.3,6.0,0.0000,16.3,95.7,0.0040,97.0,3.9,0,0.0,0.0,0.0000
0.0207,0.0152,5.5,0,-394.5,-828.6,1.3630,-394.9,-828.7,1.3632,3.0,14.1,-0.0000,18.4,103.7,0.0007,105.2,3.4,0,0.0,0.0,0.0000
0.0285,0.0241,4.4,0,-394.4,-828.5,1.3640,-394.9,-828.5,1.3632,5.0,23.3,0.0000,19.3,111.9,-0.0033,113.5,4.1,0,0.0,0.0,0.0000
0.0364,0.0321,4.3,0,-394.4,-828.3,1.3650,-394.9,-828.3,1.3632,6.3,31.3,0.0000,20.6,120.1,-0.0072,121.8,4.4,0,0.0,0.0,0.0000
