t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s
-0.2962,-0.3024,6.2,0,-172.7,15.2,-3.0708,-172.7,15.2,-3.0708,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,-0.06,0.00,-0.10,-0.21
-0.2888,-0.2950,6.2,0,-172.4,15.2,-3.0753,-172.7,15.2,-3.0708,0.0,0.0,0.0000,-0.8,-0.0,0.0178,0.8,-0.0,0,0.0,0.0,0.0000,-0.44,-0.04,-0.51,-0.19
-0.2799,-0.2854,5.6,0,-172.5,15.0,-3.0719,-172.7,15.2,-3.0708,0.0,0.0,0.0000,-0.5,0.4,0.0043,0.4,-0.4,0,0.0,0.0,0.0000,-0.07,-0.03,-0.10,-0.09
-0.2724,-0.2757,3.4,0,-172.3,15.1,-3.0756,-172.7,15.2,-3.0708,0.0,0.0,0.0000,-1.0,0.1,0.0189,1.0,-0.2,0,0.0,0.0,0.0000,-0.14,0.01,0.05,-0.01
-0.2640,-0.2684,4.4,0,-172.6,15.2,-3.0745,-172.7,15.2,-3.0708,0.0,0.0,0.0000,-0.3,-0.0,0.0146,0.3,0.0,0,0.0,0.0,0.0000,0.24,-0.04,-0.01,0.00
-0.2557,-0.2612,5.6,0,-172.3,15.1,-3.0705,-172.7,15.2,-3.0708,0.0,0.0,0.0000,-1.1,0.3,-0.0016,1.0,-0.3,0,0.0,0.0,0.0000,0.16,-0.01,0.18,0.21
-0.2485,-0.2514,2.9,0,-172.4,15.1,-3.0726,-172.7,15.2,-3.0708,0.0,0.0,0.0000,-0.7,0.2,0.0069,0.6,-0.3,0,0.0,0.0,0.0000,0.15,0.06,-0.34,-0.15
-0.2407,-0.2420,1.3,0,-172.5,15.1,-3.0709,-172.7,15.2,-3.0708,0.0,0.0,0.0000,-0.4,0.1,0.0001,0.4,-0.2,0,0.0,0.0,0.0000,-0.02,-0.01,0.06,0.06
-0.2325,-0.2343,1.8,0,-172.6,14.9,-3.0700,-172.7,15.2,-3.0708,0.0,0.0,0.0000,-0.1,0.9,-0.0034,-0.0,-0.9,0,0.0,0.0,0.0000,-0.11,-0.02,0.08,0.05
-0.2243,-0.2257,1.4,0,-172.5,15.2,-3.0680,-172.7,15.2,-3.0708,0.0,0.0,0.0000,-0.5,-0.0,-0.0114,0.5,-0.0,0,0.0,0.0,0.0000,0.47,0.00,0.01,0.47
-0.2161,-0.2174,1.2,0,-172.4,15.0,-3.0692,-172.7,15.2,-3.0708,0.0,0.0,0.0000,-0.8,0.6,-0.0066,0.7,-0.6,0,0.0,0.0,0.0000,0.32,0.12,0.18,-0.21
