t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s,imu_valid,imu_yaw_rate_rad_s,imu_accel_x_m_s2,imu_accel_y_m_s2,battery_v,est_valid,est_x_mm,est_y_mm,est_theta_rad,est_vx_mm_s,est_vy_mm_s,est_omega_rad_s,est_gyro_bias_rad_s,est_health
-0.2963,-0.3017,5.4,0,-701.7,-61.8,0.1283,-701.7,-61.8,0.1283,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.12,0.20,0.12,-0.44,1,-0.0078,-0.118,0.147,24.00,1,-701.7,-61.8,0.12833,0.0,0.0,-0.0078,-0.00000,OK
-0.2888,-0.2890,0.2,0,-702.0,-61.7,0.1321,-701.7,-61.8,0.1283,0.0,0.0,0.0000,1.0,-0.1,-0.0151,1.0,-0.2,0,0.0,0.0,0.0000,-0.09,-0.05,0.11,-0.05,1,-0.0078,-0.118,0.157,25.00,1,-702.0,-61.7,0.13029,-22.2,5.7,0.0358,0.00079,OK
-0.2806,-0.2839,3.3,0,-701.8,-61.9,0.1277,-701.7,-61.8,0.1283,0.0,0.0,0.0000,0.4,0.5,0.0026,0.5,0.5,0,0.0,0.0,0.0000,-0.37,-0.06,-0.44,0.41,1,-0.0078,-0.118,0.157,25.00,1,-701.9,-61.9,0.12919,29.2,-46.7,-0.0383,0.01178,OK
-0.2724,-0.2839,11.5,0,-701.8,-61.9,0.1277,-701.7,-61.8,0.1283,0.0,0.0,0.0000,0.4,0.5,0.0026,0.5,0.5,0,0.0,0.0,0.0000,0.13,-0.16,0.06,0.08,1,-0.0078,-0.118,0.157,24.00,1,-701.8,-62.0,0.12925,1.7,-16.6,-0.0009,0.00181,OK
-0.2644,-0.2839,19.5,0,-701.8,-61.9,0.1277,-701.7,-61.8,0.1283,0.0,0.0,0.0000,0.4,0.5,0.0026,0.5,0.5,0,0.0,0.0,0.0000,0.01,-0.09,0.05,-0.33,1,-0.0067,-0.118,0.147,24.00,1,-701.8,-62.1,0.12908,-1.8,-20.7,-0.0235,0.00853,OK
-0.2563,-0.2839,27.6,0,-701.8,-61.9,0.1277,-701.7,-61.8,0.1283,0.0,0.0,0.0000,0.4,0.5,0.0026,0.5,0.5,0,0.0,0.0,0.0000,0.02,-0.13,-0.08,0.09,1,-0.0078,-0.098,0.157,25.00,1,-701.8,-62.1,0.12907,0.0,-0.0,-0.0009,0.00261,OK
-0.2488,-0.2499,1.1,0,-702.0,-61.8,0.1271,-701.7,-61.8,0.1283,0.0,0.0,0.0000,1.0,0.2,0.0051,1.0,0.0,0,0.0,0.0,0.0000,0.26,0.16,0.03,-0.09,1,-0.0078,-0.118,0.147,25.00,1,-702.0,-61.8,0.12838,-10.3,20.7,-0.0245,-0.00033,OK
-0.2402,-0.2438,3.6,0,-702.1,-61.8,0.1285,-701.7,-61.8,0.1283,0.0,0.0,0.0000,1.1,0.1,-0.0006,1.1,-0.1,0,0.0,0.0,0.0000,-0.39,0.04,-0.12,-0.05,1,-0.0078,-0.118,0.147,25.00,1,-702.0,-61.8,0.12844,-6.5,9.0,-0.0023,-0.00139,OK
-0.2323,-0.2355,3.2,0,-702.1,-61.7,0.1269,-701.7,-61.8,0.1283,0.0,0.0,0.0000,1.4,-0.2,0.0057,1.3,-0.4,0,0.0,0.0,0.0000,-0.12,0.22,-0.46,-0.06,1,-0.0067,-0.098,0.157,24.00,1,-702.1,-61.7,0.12806,-12.1,17.6,-0.0131,-0.00192,OK
-0.2241,-0.2255,1.4,0,-702.8,-61.1,0.1276,-701.7,-61.8,0.1283,0.0,0.0,0.0000,3.3,-1.9,0.0029,3.0,-2.3,0,0.0,0.0,0.0000,0.11,0.05,-0.08,-0.22,1,-0.0067,-0.127,0.147,24.00,1,-702.7,-61.2,0.12794,-97.5,111.9,-0.0072,-0.00251,OK
