# raven trajpoc id=15 t0_ns=23531234226167
t_ns,visible,pose_x_mm,pose_y_mm,pose_theta_rad,est_vx_mm_s,est_vy_mm_s,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s
23530954096347,1,-614.26,482.67,-1.26549,1.0,-2.0,-614.26,482.67,-1.26549,2.4,-7.7,0.0,0.0,0.0000
23530970273453,1,-614.34,482.71,-1.26534,-0.1,-0.5,-614.26,482.67,-1.26549,2.4,-7.7,0.0,0.0,0.0000
23530986569681,1,-614.34,482.71,-1.26534,-0.1,-0.5,-614.26,482.67,-1.26549,2.4,-7.7,6.0,-19.0,-0.0018
23531002907074,1,-614.34,482.71,-1.26534,-0.1,-0.5,-614.26,482.67,-1.26549,2.4,-7.7,6.0,-19.0,-0.0021
23531019200588,1,-614.34,482.71,-1.26534,-0.1,-0.5,-614.26,482.67,-1.26549,2.4,-7.7,6.0,-19.0,-0.0023
23531035528792,1,-614.34,482.71,-1.26534,-0.1,-0.5,-614.26,482.67,-1.26549,2.4,-7.7,6.0,-19.0,-0.0026
23531051757227,1,-614.34,482.71,-1.26534,-0.1,-0.5,-614.26,482.67,-1.26549,2.4,-7.7,6.0,-19.0,-0.0028
23531067975657,1,-614.30,482.64,-1.26522,0.2,-1.1,-614.26,482.67,-1.26549,2.4,-7.7,6.0,-19.0,-0.0031
23531084240929,1,-614.30,482.64,-1.26522,0.2,-1.1,-614.26,482.67,-1.26549,2.4,-7.7,2.0,-6.5,-0.0000
23531100458671,1,-614.30,482.64,-1.26522,0.2,-1.1,-614.26,482.67,-1.26549,2.4,-7.7,2.0,-6.5,-0.0003
23531116605593,1,-614.30,482.64,-1.26522,0.2,-1.1,-614.26,482.67,-1.26549,2.4,-7.7,2.0,-6.5,-0.0005
23531132775339,1,-614.30,482.64,-1.26522,0.2,-1.1,-614.26,482.67,-1.26549,2.4,-7.7,2.0,-6.5,-0.0008
23531148947676,1,-614.30,482.64,-1.26522,0.2,-1.1,-614.26,482.67,-1.26549,2.4,-7.7,8.3,-23.2,-0.0010
23531165110033,1,-614.08,481.88,-1.26532,4.9,-16.5,-614.26,482.67,-1.26549,2.4,-7.7,22.7,-67.6,-0.0013
23531181272270,1,-614.12,481.56,-1.26604,2.6,-9.6,-614.26,482.67,-1.26549,2.4,-7.7,30.6,-95.0,0.0052
23531197416751,1,-614.12,481.56,-1.26604,2.6,-9.6,-614.26,482.67,-1.26549,2.4,-7.7,46.8,-145.7,0.0061
23531213606747,1,-614.12,481.56,-1.26604,2.6,-9.6,-614.26,482.67,-1.26549,2.4,-7.7,61.6,-184.4,0.0071
23531229759857,1,-614.12,481.56,-1.26604,2.6,-9.6,-614.26,482.67,-1.26549,2.4,-7.7,62.7,-184.0,0.0081
23531245967250,1,-614.12,481.56,-1.26604,2.6,-9.6,-614.23,482.58,-1.26549,2.4,-7.7,62.7,-184.0,0.0091
23531262252984,1,-614.12,481.56,-1.26604,2.6,-9.6,-614.13,482.27,-1.26549,7.1,-22.7,67.3,-182.4,0.0100
23531278415563,1,-613.83,480.98,-1.26968,13.8,-38.9,-613.95,481.72,-1.26549,12.6,-38.0,67.3,-182.4,0.0100
23531294561520,1,-613.83,480.98,-1.26968,13.8,-38.9,-613.68,480.91,-1.26549,17.5,-53.5,29.9,-72.4,0.0345
23531310678659,1,-613.83,480.98,-1.26968,13.8,-38.9,-613.34,479.87,-1.26549,22.2,-68.4,89.6,-218.4,0.0468
23531326789163,1,-613.83,480.98,-1.26968,13.8,-38.9,-612.92,478.57,-1.26549,27.1,-83.9,122.4,-289.4,0.0529
23531342947864,1,-613.83,480.98,-1.26968,13.8,-38.9,-612.41,477.03,-1.26549,33.0,-98.4,122.4,-289.4,0.0529
23531359072251,1,-613.83,480.98,-1.26968,13.8,-38.9,-611.80,475.25,-1.26549,39.1,-113.5,135.6,-308.6,0.0590
23531375239910,1,-612.76,471.15,-1.28246,37.0,-161.7,-611.10,473.22,-1.26549,44.5,-128.8,137.4,-307.6,0.0652
