# vision_rec team=blue id=15 addr=224.5.23.2:10006
arrival_mono_ns,t_capture_s,t_sent_s,camera,x_mm,y_mm,theta_rad,confidence
23517134937369,1790087496.279198,1790087496.283592,0,-611.47,431.06,-1.27152,0.769
23517135369526,1790087496.287615,1790087496.291510,0,-609.21,430.34,-1.26134,0.785
23517135379372,1790087496.296116,1790087496.299979,0,-609.64,430.69,-1.27088,0.806
23517135385327,1790087496.304541,1790087496.308579,0,-610.92,431.57,-1.27445,0.779
23517135391426,1790087496.312924,1790087496.317078,0,-609.93,430.78,-1.27190,0.777
23517135436884,1790087496.321421,1790087496.325373,0,-610.06,430.88,-1.27190,0.789
23517136675890,1790087496.329871,1790087496.334263,0,-609.22,430.29,-1.26017,0.822
23517136687625,1790087496.338309,1790087496.342603,0,-610.21,430.85,-1.27285,0.757
23517237599378,1790087496.346795,1790087496.351122,0,-611.34,431.50,-1.27420,0.785
23517237653306,1790087496.355237,1790087496.359553,0,-611.27,431.32,-1.27345,0.772
23517237661169,1790087496.363749,1790087496.368120,0,-611.09,431.41,-1.27219,0.778
23517237668067,1790087496.372135,1790087496.376260,0,-609.94,430.88,-1.27014,0.790
23517237673670,1790087496.380633,1790087496.386712,0,-609.26,430.19,-1.25910,0.806
23517237680799,1790087496.389218,1790087496.393523,0,-609.61,430.65,-1.26756,0.772
23517240140991,1790087496.397517,1790087496.402338,0,-609.74,430.72,-1.27189,0.791
23517240153651,1790087496.405931,1790087496.410194,0,-611.36,431.17,-1.26983,0.768
23517240159510,1790087496.414408,1790087496.420631,0,-608.86,430.81,-1.26365,0.827
23517240165462,1790087496.422984,1790087496.427914,0,-609.87,430.68,-1.26557,0.777
23517240171529,1790087496.431309,1790087496.435769,0,-609.40,430.72,-1.26323,0.792
23517340029294,1790087496.439866,1790087496.444425,0,-609.80,430.82,-1.27125,0.775
23517340084766,1790087496.448239,1790087496.455649,0,-609.52,430.41,-1.26354,0.785
23517340092915,1790087496.457150,1790087496.461843,0,-609.34,430.48,-1.26403,0.823
23517340100967,1790087496.465135,1790087496.469588,0,-610.00,430.84,-1.27008,0.763
23517340132848,1790087496.473545,1790087496.477432,0,-609.49,430.32,-1.26010,0.808
23517340139967,1790087496.482153,1790087496.488216,0,-610.02,430.61,-1.27222,0.759
23517342596562,1790087496.490539,1790087496.494428,0,-610.80,431.61,-1.26474,0.782
23517342630581,1790087496.498853,1790087496.503007,0,-609.42,430.34,-1.26083,0.808
23517342638099,1790087496.507302,1790087496.511438,0,-610.30,430.84,-1.27451,0.752
23517342643742,1790087496.515959,1790087496.521437,0,-611.21,431.27,-1.27509,0.780
23517342649897,1790087496.524211,1790087496.528170,0,-610.00,430.76,-1.27258,0.787
23517342656661,1790087496.532652,1790087496.536546,0,-609.38,430.44,-1.26462,0.805
23517343116228,1790087496.541191,1790087496.545319,0,-609.87,430.86,-1.27161,0.777
23517442405917,1790087496.549826,1790087496.554933,0,-609.51,430.68,-1.26803,0.799
23517442453751,1790087496.558024,1790087496.561952,0,-609.89,430.99,-1.27138,0.770
23517442459693,1790087496.566476,1790087496.570596,0,-609.53,430.75,-1.26695,0.797
23517445034667,1790087496.574897,1790087496.579305,0,-609.35,430.74,-1.26073,0.786
23517445084898,1790087496.583573,1790087496.588371,0,-609.62,430.79,-1.27479,0.775
23517445091466,1790087496.591793,1790087496.595813,0,-609.57,430.79,-1.26606,0.789
23517445096574,1790087496.600253,1790087496.604148,0,-610.09,430.97,-1.27954,0.776
23517445100850,1790087496.608690,1790087496.612922,0,-609.36,430.82,-1.26937,0.807
23517445106231,1790087496.617227,1790087496.621819,0,-610.06,430.75,-1.27453,0.768
23517446666699,1790087496.625607,1790087496.629828,0,-611.20,431.40,-1.27221,0.774
23517446688284,1790087496.634057,1790087496.638172,0,-611.08,431.34,-1.26856,0.767
