# vision_rec team=blue id=15 addr=224.5.23.2:10006
arrival_mono_ns,t_capture_s,t_sent_s,camera,x_mm,y_mm,theta_rad,confidence
23526453539198,1790087505.573296,1790087505.577714,0,-606.10,438.15,-1.29543,0.894
23526456176433,1790087505.590239,1790087505.594213,0,-606.17,439.12,-1.29745,0.907
23526456248466,1790087505.598633,1790087505.602667,0,-606.37,439.56,-1.29711,0.920
23526456257727,1790087505.607100,1790087505.611334,0,-606.26,440.06,-1.29603,0.901
23526456264542,1790087505.615524,1790087505.619361,0,-605.95,440.60,-1.29354,0.899
23526456272013,1790087505.623962,1790087505.627979,0,-606.13,441.12,-1.29546,0.896
23526458591475,1790087505.632415,1790087505.636400,0,-606.25,441.70,-1.29670,0.870
23526458607454,1790087505.640881,1790087505.644939,0,-606.19,442.50,-1.29954,0.892
23526458611984,1790087505.649311,1790087505.653578,0,-606.52,442.55,-1.30432,0.874
23526458615290,1790087505.657772,1790087505.661995,0,-606.13,443.59,-1.30198,0.896
23526458618639,1790087505.666232,1790087505.670657,0,-606.51,444.19,-1.29778,0.905
23526555704923,1790087505.674664,1790087505.678871,0,-606.35,444.34,-1.29766,0.899
23526555756996,1790087505.683109,1790087505.687100,0,-606.21,444.73,-1.29727,0.872
23526555764989,1790087505.691578,1790087505.695501,0,-606.31,445.24,-1.29159,0.896
23526555770555,1790087505.700035,1790087505.704273,0,-606.51,445.43,-1.28969,0.881
23526555776526,1790087505.708471,1790087505.713975,0,-606.52,445.69,-1.28955,0.869
23526555782671,1790087505.716894,1790087505.721045,0,-606.49,446.07,-1.29192,0.842
23526558397512,1790087505.725398,1790087505.729648,0,-606.44,446.14,-1.28768,0.848
23526558406644,1790087505.733815,1790087505.738026,0,-606.24,446.79,-1.27863,0.807
23526558411223,1790087505.742326,1790087505.748591,0,-606.29,447.14,-1.27555,0.800
23526558415092,1790087505.750903,1790087505.755065,0,-606.18,447.51,-1.27211,0.808
23526558418680,1790087505.759236,1790087505.763395,0,-606.33,447.93,-1.27382,0.829
23526558422627,1790087505.767674,1790087505.771566,0,-606.34,448.44,-1.27143,0.820
23526658198319,1790087505.776101,1790087505.782284,0,-606.26,448.87,-1.26886,0.835
23526658247143,1790087505.784575,1790087505.788534,0,-605.96,449.60,-1.29098,0.862
23526658266587,1790087505.792995,1790087505.796944,0,-606.28,450.00,-1.29316,0.877
23526658270981,1790087505.801474,1790087505.805526,0,-606.43,450.31,-1.29237,0.864
23526658275933,1790087505.809969,1790087505.816563,0,-606.24,450.37,-1.29225,0.869
23526658280476,1790087505.818395,1790087505.822528,0,-606.53,450.91,-1.29875,0.867
23526660610123,1790087505.826765,1790087505.830774,0,-606.81,450.90,-1.30090,0.858
23526660629446,1790087505.835223,1790087505.839424,0,-606.68,450.84,-1.29744,0.861
23526660634375,1790087505.843854,1790087505.849703,0,-606.88,451.26,-1.30352,0.842
23526660638451,1790087505.852128,1790087505.856260,0,-607.04,451.46,-1.30576,0.859
23526660642752,1790087505.860553,1790087505.865040,0,-607.14,451.67,-1.30729,0.867
23526760590847,1790087505.869071,1790087505.873470,0,-607.31,451.76,-1.30560,0.859
23526760674662,1790087505.877777,1790087505.882985,0,-607.55,451.96,-1.31047,0.855
23526760683120,1790087505.885909,1790087505.889847,0,-607.72,452.06,-1.31427,0.828
23526760689834,1790087505.894437,1790087505.898644,0,-607.40,452.41,-1.30763,0.851
23526760695569,1790087505.902816,1790087505.906778,0,-607.71,452.40,-1.31254,0.855
23526760702931,1790087505.911506,1790087505.916665,0,-607.61,452.71,-1.31055,0.864
23526763129632,1790087505.919700,1790087505.923932,0,-607.52,453.00,-1.31148,0.870
23526763141996,1790087505.928159,1790087505.932277,0,-607.56,453.44,-1.30544,0.871
23526763148101,1790087505.936599,1790087505.940600,0,-607.76,453.97,-1.30739,0.832
23526763154115,1790087505.945354,1790087505.950010,0,-607.53,454.23,-1.29436,0.879
23526763159648,1790087505.953520,1790087505.957603,0,-607.41,454.78,-1.29385,0.847
23526763165433,1790087505.961964,1790087505.966196,0,-607.51,454.99,-1.28874,0.847
23526765888673,1790087505.970386,1790087505.974615,0,-607.66,455.30,-1.28525,0.850
23526863160591,1790087505.978921,1790087505.983296,0,-607.66,455.65,-1.28488,0.851
23526863222730,1790087505.987305,1790087505.991258,0,-608.18,455.88,-1.28074,0.837
23526863231479,1790087505.995751,1790087505.999633,0,-608.34,456.55,-1.28850,0.820
23526863256046,1790087506.004205,1790087506.008196,0,-608.18,456.75,-1.27997,0.820
23526863263534,1790087506.012744,1790087506.016751,0,-608.57,457.33,-1.28307,0.816
23526863272044,1790087506.021121,1790087506.025345,0,-608.51,457.34,-1.27869,0.837
23526865983895,1790087506.029524,1790087506.033554,0,-608.32,458.07,-1.28236,0.838
23526866018465,1790087506.037993,1790087506.041931,0,-608.88,458.79,-1.29229,0.829
23526866025250,1790087506.046542,1790087506.050430,0,-609.30,459.34,-1.29245,0.889
23526866030575,1790087506.054892,1790087506.059094,0,-609.61,459.03,-1.29549,0.898
23526866035512,1790087506.063340,1790087506.067308,0,-609.67,459.89,-1.28914,0.834
23526965514343,1790087506.071840,1790087506.076099,0,-610.05,459.84,-1.29070,0.849
23526965604862,1790087506.080394,1790087506.084227,0,-610.03,460.19,-1.28288,0.890
23526965613154,1790087506.088707,1790087506.092677,0,-608.71,462.18,-1.26215,0.853
23526965619684,1790087506.097143,1790087506.101356,0,-609.77,462.43,-1.26964,0.890
23526965626148,1790087506.105580,1790087506.109657,0,-610.37,463.06,-1.28017,0.888
23526965662864,1790087506.114147,1790087506.118213,0,-610.84,463.27,-1.28103,0.919
23526968240714,1790087506.122465,1790087506.126653,0,-610.92,463.63,-1.28109,0.929
23526968269866,1790087506.130947,1790087506.134970,0,-611.08,464.46,-1.28925,0.906
23526968278380,1790087506.139395,1790087506.143396,0,-611.65,465.11,-1.29244,0.860
23526968285439,1790087506.147816,1790087506.151936,0,-611.87,465.36,-1.29382,0.846
23526968291235,1790087506.156301,1790087506.160331,0,-611.66,465.90,-1.29815,0.881
23526968297532,1790087506.164739,1790087506.168959,0,-611.62,466.65,-1.28734,0.860
23526971026417,1790087506.173188,1790087506.177476,0,-611.54,467.06,-1.29169,0.866
23527068086265,1790087506.181620,1790087506.185759,0,-612.00,467.14,-1.29109,0.872
23527068178672,1790087506.190089,1790087506.194063,0,-611.68,468.37,-1.29295,0.901
23527068183669,1790087506.198498,1790087506.202444,0,-611.96,468.40,-1.29147,0.883
23527068188407,1790087506.206984,1790087506.211314,0,-611.49,469.97,-1.29972,0.901
23527068193604,1790087506.215451,1790087506.219384,0,-611.33,470.27,-1.29505,0.861
23527069529544,1790087506.223903,1790087506.227897,0,-611.46,470.77,-1.29963,0.867
23527069543397,1790087506.232345,1790087506.236348,0,-611.83,470.88,-1.29704,0.852
23527069549428,1790087506.240775,1790087506.244718,0,-612.51,471.34,-1.30131,0.815
23527072469244,1790087506.249192,1790087506.253279,0,-612.57,471.62,-1.29808,0.813
23527072479292,1790087506.257695,1790087506.261751,0,-612.56,471.81,-1.29688,0.827
23527072485679,1790087506.266120,1790087506.270263,0,-613.00,472.17,-1.29563,0.814
23527170141605,1790087506.274563,1790087506.278883,0,-613.12,472.40,-1.29345,0.832
23527170227424,1790087506.283002,1790087506.287082,0,-613.34,472.56,-1.28756,0.820
23527170237516,1790087506.291464,1790087506.295583,0,-613.07,473.14,-1.28822,0.824
23527170244001,1790087506.299915,1790087506.303959,0,-612.77,473.71,-1.28333,0.841
23527170250099,1790087506.308395,1790087506.312770,0,-612.80,474.35,-1.27770,0.826
23527170258245,1790087506.316743,1790087506.320586,0,-612.96,475.21,-1.27400,0.842
23527172780507,1790087506.325264,1790087506.329537,0,-612.89,475.35,-1.27255,0.848
23527172813052,1790087506.333702,1790087506.337887,0,-612.97,475.96,-1.27359,0.823
23527172818328,1790087506.342143,1790087506.346295,0,-612.84,476.97,-1.28361,0.841
23527172822043,1790087506.350585,1790087506.354806,0,-612.82,477.22,-1.28378,0.833
23527172826138,1790087506.359095,1790087506.363191,0,-612.99,477.83,-1.28230,0.837
23527172830351,1790087506.367481,1790087506.371413,0,-613.45,478.30,-1.28331,0.855
23527271681218,1790087506.375951,1790087506.380121,0,-613.44,478.56,-1.27229,0.891
23527271753499,1790087506.384397,1790087506.388441,0,-613.53,479.25,-1.27282,0.886
23527271793946,1790087506.392853,1790087506.396791,0,-613.65,479.56,-1.27345,0.882
23527273487957,1790087506.401343,1790087506.405231,0,-613.66,480.30,-1.27028,0.889
23527273552898,1790087506.409764,1790087506.413882,0,-613.71,480.25,-1.27092,0.887
23527273565953,1790087506.418205,1790087506.422278,0,-613.82,480.74,-1.26950,0.884
23527275250518,1790087506.426672,1790087506.430619,0,-614.03,480.93,-1.27343,0.860
23527275272935,1790087506.435118,1790087506.439215,0,-613.96,481.73,-1.26819,0.864
23527275304463,1790087506.443548,1790087506.447694,0,-614.06,481.99,-1.26958,0.857
23527276951177,1790087506.451987,1790087506.456303,0,-613.91,482.39,-1.26991,0.869
23527276983658,1790087506.460477,1790087506.464842,0,-614.06,482.62,-1.26916,0.859
23527276992466,1790087506.468905,1790087506.472963,0,-614.09,482.95,-1.26923,0.857
23527277910113,1790087506.477374,1790087506.481575,0,-614.20,483.13,-1.26829,0.852
23527374093259,1790087506.485774,1790087506.489620,0,-614.23,483.60,-1.26918,0.855
23527374181503,1790087506.494265,1790087506.498448,0,-614.32,483.67,-1.27002,0.861
23527374205195,1790087506.502698,1790087506.506728,0,-614.67,483.74,-1.27268,0.835
23527375314468,1790087506.511140,1790087506.517280,0,-614.53,483.97,-1.27067,0.845
23527375374251,1790087506.519568,1790087506.523588,0,-614.44,483.71,-1.27015,0.851
23527376557280,1790087506.528050,1790087506.532311,0,-614.51,484.04,-1.27634,0.846
23527376600829,1790087506.536447,1790087506.540458,0,-614.46,483.89,-1.27215,0.842
23527378951684,1790087506.544943,1790087506.551096,0,-614.38,483.85,-1.27250,0.837
23527379026599,1790087506.553451,1790087506.557659,0,-614.55,483.97,-1.27296,0.835
23527379100180,1790087506.561862,1790087506.565819,0,-614.37,483.90,-1.27670,0.845
23527379122477,1790087506.570380,1790087506.574589,0,-614.33,483.33,-1.27016,0.848
23527381481564,1790087506.578717,1790087506.585063,0,-614.43,483.44,-1.26907,0.840
23527381977362,1790087506.587273,1790087506.591949,0,-614.22,483.05,-1.26949,0.867
23527476107910,1790087506.595613,1790087506.599736,0,-614.43,483.06,-1.26929,0.832
23527476181321,1790087506.604107,1790087506.608049,0,-614.38,483.24,-1.27754,0.840
23527477261296,1790087506.612741,1790087506.619117,0,-614.21,482.99,-1.26760,0.858
23527477278192,1790087506.620991,1790087506.625154,0,-614.29,483.02,-1.27133,0.841
23527478557910,1790087506.629460,1790087506.633599,0,-614.45,482.90,-1.27053,0.844
23527478565461,1790087506.637889,1790087506.641799,0,-614.46,482.80,-1.26716,0.844
23527481013791,1790087506.646581,1790087506.652343,0,-614.26,482.77,-1.26694,0.851
23527481027997,1790087506.654710,1790087506.658927,0,-614.20,482.84,-1.27022,0.836
23527481050231,1790087506.663237,1790087506.667310,0,-614.38,482.90,-1.26953,0.847
23527481055145,1790087506.671676,1790087506.675662,0,-614.32,482.87,-1.26994,0.845
23527482340543,1790087506.680388,1790087506.685374,0,-614.26,482.84,-1.26783,0.853
23527482383746,1790087506.688570,1790087506.692971,0,-614.07,482.92,-1.27032,0.858
23527578962978,1790087506.697060,1790087506.701040,0,-614.27,482.95,-1.26937,0.849
23527579034067,1790087506.705470,1790087506.709513,0,-614.26,482.85,-1.26827,0.855
23527579040121,1790087506.714152,1790087506.718764,0,-614.33,482.98,-1.26694,0.839
23527581429009,1790087506.722398,1790087506.726388,0,-614.34,482.92,-1.26534,0.850
23527581438668,1790087506.730833,1790087506.734752,0,-614.33,482.90,-1.26731,0.853
23527581443840,1790087506.739278,1790087506.743241,0,-614.24,482.90,-1.26790,0.857
23527581448487,1790087506.747711,1790087506.751970,0,-614.35,482.89,-1.26562,0.836
23527583360744,1790087506.756187,1790087506.760385,0,-614.29,482.91,-1.26774,0.851
23527583373463,1790087506.764629,1790087506.768660,0,-614.38,482.93,-1.26730,0.844
23527583380838,1790087506.773083,1790087506.777065,0,-614.23,482.54,-1.26612,0.857
23527584548262,1790087506.781619,1790087506.785498,0,-614.35,483.11,-1.26906,0.839
23527584612070,1790087506.789973,1790087506.794062,0,-614.26,482.81,-1.26827,0.855
23527681017609,1790087506.798392,1790087506.802350,0,-614.18,482.89,-1.26553,0.862
23527681089352,1790087506.806876,1790087506.810879,0,-614.31,482.79,-1.26612,0.846
23527682159108,1790087506.815449,1790087506.819405,0,-614.18,482.69,-1.26933,0.860
23527682228496,1790087506.823765,1790087506.827747,0,-614.24,482.86,-1.26743,0.855
23527683986569,1790087506.832224,1790087506.836593,0,-614.24,482.81,-1.27027,0.858
23527684030662,1790087506.840667,1790087506.844897,0,-614.16,482.64,-1.26482,0.859
23527684041777,1790087506.849234,1790087506.853318,0,-614.15,482.84,-1.26723,0.855
23527685728402,1790087506.857558,1790087506.861503,0,-614.16,482.82,-1.26851,0.853
23527685774526,1790087506.866002,1790087506.870165,0,-614.21,482.77,-1.26743,0.853
23527685785630,1790087506.874437,1790087506.878424,0,-614.18,482.97,-1.26680,0.851
23527687049128,1790087506.882987,1790087506.886892,0,-614.29,482.70,-1.26537,0.845
23527687076415,1790087506.891368,1790087506.895511,0,-614.38,482.84,-1.26502,0.843
23527783733223,1790087506.899775,1790087506.903969,0,-614.13,482.82,-1.26791,0.866
23527783816006,1790087506.908235,1790087506.912216,0,-614.09,482.90,-1.26869,0.854
23527783825414,1790087506.916812,1790087506.920911,0,-614.34,482.84,-1.26862,0.848
23527786192059,1790087506.925146,1790087506.929305,0,-614.12,482.84,-1.26654,0.866
23527786203217,1790087506.933569,1790087506.937622,0,-614.26,482.71,-1.26822,0.856
23527786210901,1790087506.942056,1790087506.946143,0,-614.28,482.59,-1.26847,0.850
23527786216870,1790087506.950389,1790087506.954368,0,-614.24,482.71,-1.26771,0.860
23527787909906,1790087506.958924,1790087506.962790,0,-614.27,482.89,-1.26757,0.853
23527787921723,1790087506.967406,1790087506.971602,0,-614.40,482.79,-1.26880,0.844
23527787929513,1790087506.975818,1790087506.979778,0,-614.14,482.70,-1.26739,0.864
23527790459872,1790087506.984238,1790087506.988127,0,-614.22,482.80,-1.26828,0.853
23527885165702,1790087506.992725,1790087506.996817,0,-614.23,482.79,-1.26601,0.847
23527885217903,1790087507.001150,1790087507.005130,0,-614.30,482.88,-1.26613,0.842
23527887266513,1790087507.009626,1790087507.013624,0,-614.15,482.87,-1.26748,0.865
23527887297872,1790087507.026512,1790087507.030458,0,-614.28,482.87,-1.26563,0.860
23527889620873,1790087507.035008,1790087507.039173,0,-614.17,482.71,-1.26948,0.866
23527889671662,1790087507.043461,1790087507.048233,0,-614.29,482.67,-1.26521,0.845
23527889682111,1790087507.051858,1790087507.055931,0,-614.09,482.60,-1.26731,0.862
23527891188779,1790087507.060353,1790087507.064530,0,-614.29,482.70,-1.26874,0.854
