# vision_rec team=blue id=15 addr=224.5.23.2:10006
arrival_mono_ns,t_capture_s,t_sent_s,camera,x_mm,y_mm,theta_rad,confidence
23491132218829,1790087470.331819,1790087470.335917,0,-594.14,585.14,-0.94816,0.869
23491334438474,1790087470.441633,1790087470.445729,0,-594.17,584.96,-0.94565,0.841
23491334505208,1790087470.450133,1790087470.454130,0,-594.13,585.15,-0.94694,0.839
23491334518600,1790087470.458525,1790087470.462732,0,-594.01,585.18,-0.95033,0.854
23491334527873,1790087470.467006,1790087470.471447,0,-594.05,584.79,-0.94660,0.865
23491334536232,1790087470.475457,1790087470.479359,0,-594.24,585.18,-0.94738,0.861
23491334544443,1790087470.483884,1790087470.487695,0,-594.11,585.07,-0.94930,0.873
23491334552558,1790087470.492389,1790087470.496393,0,-594.15,585.21,-0.94887,0.872
23491334560908,1790087470.500782,1790087470.505912,0,-594.09,585.16,-0.94928,0.879
23491334569068,1790087470.509290,1790087470.513418,0,-594.29,585.05,-0.94671,0.856
23491334577105,1790087470.517682,1790087470.522035,0,-594.14,585.29,-0.94867,0.853
23491334585231,1790087470.526135,1790087470.530107,0,-594.32,585.24,-0.94886,0.856
23491334593444,1790087470.534606,1790087470.539702,0,-594.00,585.04,-0.94924,0.878
23491334601476,1790087470.543006,1790087470.547412,0,-594.15,585.13,-0.94838,0.869
23491543253817,1790087470.652869,1790087470.657437,0,-594.01,584.99,-0.94682,0.875
23491543340645,1790087470.678265,1790087470.682196,0,-594.25,584.93,-0.94947,0.865
23491543351762,1790087470.686665,1790087470.690855,0,-594.09,584.87,-0.94614,0.844
23491543361628,1790087470.695130,1790087470.699074,0,-594.06,585.12,-0.94688,0.850
23491543368755,1790087470.703596,1790087470.708012,0,-594.03,585.18,-0.95018,0.873
23491543375469,1790087470.711970,1790087470.715959,0,-594.21,585.04,-0.94607,0.867
23491543382505,1790087470.720450,1790087470.724565,0,-594.13,585.09,-0.94729,0.863
23491543389850,1790087470.728919,1790087470.733310,0,-594.00,585.00,-0.95180,0.893
23491543397415,1790087470.737434,1790087470.741638,0,-594.12,585.11,-0.94921,0.860
23491543405093,1790087470.745813,1790087470.749788,0,-594.08,584.83,-0.94776,0.875
23491743893810,1790087470.847261,1790087470.851415,0,-594.25,584.95,-0.94759,0.863
23491743941253,1790087470.855627,1790087470.859603,0,-594.06,585.09,-0.94681,0.831
23491743947352,1790087470.864120,1790087470.868039,0,-594.21,585.08,-0.94697,0.856
23491743952289,1790087470.872673,1790087470.876545,0,-594.25,584.99,-0.94883,0.873
23491743956776,1790087470.880994,1790087470.884894,0,-594.04,585.12,-0.94790,0.862
23491743961007,1790087470.889467,1790087470.893342,0,-594.21,585.11,-0.94756,0.874
23491743964678,1790087470.897893,1790087470.901875,0,-594.27,584.96,-0.94871,0.878
23491743969491,1790087470.906408,1790087470.910212,0,-594.00,585.22,-0.94762,0.859
23491743973480,1790087470.914803,1790087470.918752,0,-594.02,585.07,-0.94682,0.857
23491743977306,1790087470.923267,1790087470.927448,0,-594.15,584.93,-0.94817,0.874
23491743981318,1790087470.931697,1790087470.935759,0,-594.12,585.08,-0.94647,0.858
23491743985287,1790087470.940110,1790087470.944004,0,-594.12,584.79,-0.94498,0.873
23491744016596,1790087470.948622,1790087470.952606,0,-594.04,584.92,-0.94859,0.870
23491944380974,1790087471.049998,1790087471.054129,0,-594.18,585.05,-0.94772,0.851
23491944458357,1790087471.058474,1790087471.062542,0,-594.09,584.92,-0.94982,0.878
23491946452737,1790087471.066920,1790087471.071074,0,-594.29,584.96,-0.94962,0.872
23491946496812,1790087471.075350,1790087471.079496,0,-594.22,584.90,-0.94495,0.854
23491946506978,1790087471.083796,1790087471.087718,0,-594.00,585.09,-0.94735,0.838
23491948646377,1790087471.092287,1790087471.096539,0,-594.03,584.99,-0.94743,0.874
23491948678202,1790087471.100679,1790087471.104879,0,-594.20,584.89,-0.94628,0.871
23491951327346,1790087471.109168,1790087471.113486,0,-594.03,585.18,-0.94794,0.847
23491951347041,1790087471.117607,1790087471.121933,0,-594.24,585.04,-0.94848,0.879
23491951354647,1790087471.126102,1790087471.130287,0,-593.96,584.76,-0.94690,0.879
23491951361169,1790087471.134462,1790087471.138594,0,-594.01,585.10,-0.95012,0.877
23491953352783,1790087471.142945,1790087471.146880,0,-594.09,584.89,-0.94635,0.862
23492165015656,1790087471.286587,1790087471.290584,0,-594.23,585.07,-0.94874,0.878
23492165070253,1790087471.295033,1790087471.298908,0,-594.10,585.03,-0.94758,0.871
23492165079408,1790087471.303460,1790087471.309960,0,-594.22,584.86,-0.94725,0.868
