t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s,imu_valid,imu_yaw_rate_rad_s,imu_accel_x_m_s2,imu_accel_y_m_s2,battery_v,est_valid,est_x_mm,est_y_mm,est_theta_rad,est_vx_mm_s,est_vy_mm_s,est_omega_rad_s,est_gyro_bias_rad_s,est_health
-0.2958,-0.3525,56.7,0,144.8,0.6,0.1438,144.8,0.6,0.1438,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.06,0.19,0.03,0.00,1,-0.0078,-0.118,0.147,24.00,1,144.8,0.6,0.14381,0.0,0.0,-0.0078,-0.00000,OK
-0.2868,-0.3525,65.7,0,144.8,0.6,0.1438,144.8,0.6,0.1438,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.02,0.29,-0.26,0.16,1,-0.0078,-0.108,0.157,25.00,1,144.7,0.6,0.14394,-2.7,1.2,0.0151,-0.02016,OK
-0.2797,-0.3525,72.8,0,144.8,0.6,0.1438,144.8,0.6,0.1438,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.17,-0.28,0.04,0.18,1,-0.0078,-0.088,0.147,24.00,1,144.7,0.7,0.14407,3.2,6.7,0.0159,-0.02246,OK
-0.2710,-0.3525,81.5,0,144.8,0.6,0.1438,144.8,0.6,0.1438,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.03,-0.15,-0.08,-0.10,1,-0.0078,-0.108,0.147,25.00,1,144.7,0.7,0.14392,-0.5,2.1,-0.0094,-0.01008,OK
-0.2636,-0.3525,88.9,0,144.8,0.6,0.1438,144.8,0.6,0.1438,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.03,-0.18,0.13,0.09,1,-0.0078,-0.108,0.147,25.00,1,144.8,0.7,0.14394,3.6,1.8,0.0054,-0.01142,OK
-0.2550,-0.3525,97.6,0,144.8,0.6,0.1438,144.8,0.6,0.1438,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.48,-0.03,-0.09,0.01,1,-0.0078,-0.108,0.118,26.00,1,145.0,0.5,0.14396,-0.0,0.0,0.0022,-0.01088,OK
-0.2480,-0.2513,3.2,0,144.8,0.6,0.1425,144.8,0.6,0.1438,0.0,0.0,0.0000,-0.3,-0.1,0.0053,-0.3,-0.0,0,0.0,0.0,0.0000,-0.18,0.04,0.29,-0.09,1,-0.0078,-0.098,0.147,24.00,1,144.8,0.6,0.14313,-0.6,0.8,-0.0059,-0.00985,OK
-0.2394,-0.2513,11.9,0,144.8,0.6,0.1425,144.8,0.6,0.1438,0.0,0.0,0.0000,-0.3,-0.1,0.0053,-0.3,-0.0,0,0.0,0.0,0.0000,-0.28,-0.01,-0.25,-0.25,1,-0.0067,-0.108,0.167,24.00,1,144.8,0.6,0.14310,-0.0,0.0,-0.0032,-0.00848,OK
-0.2310,-0.2513,20.2,0,144.8,0.6,0.1425,144.8,0.6,0.1438,0.0,0.0,0.0000,-0.3,-0.1,0.0053,-0.3,-0.0,0,0.0,0.0,0.0000,-0.18,-0.01,0.26,0.20,1,-0.0067,-0.108,0.167,24.00,1,144.8,0.6,0.14309,0.0,-0.0,0.0011,-0.00834,OK
-0.2233,-0.2513,28.0,0,144.8,0.6,0.1425,144.8,0.6,0.1438,0.0,0.0,0.0000,-0.3,-0.1,0.0053,-0.3,-0.0,0,0.0,0.0,0.0000,0.06,0.41,0.27,0.08,1,-0.0044,-0.098,0.127,24.00,1,144.8,0.6,0.14311,-0.0,-0.0,0.0033,-0.00825,OK
-0.2146,-0.2513,36.7,0,144.8,0.6,0.1425,144.8,0.6,0.1438,0.0,0.0,0.0000,-0.3,-0.1,0.0053,-0.3,-0.0,0,0.0,0.0,0.0000,0.20,0.01,-0.25,-0.12,1,-0.0044,-0.108,0.147,24.00,1,144.8,0.6,0.14311,-0.0,0.0,-0.0002,-0.00771,OK
-0.2073,-0.2513,44.0,0,144.8,0.6,0.1425,144.8,0.6,0.1438,0.0,0.0,0.0000,-0.3,-0.1,0.0053,-0.3,-0.0,0,0.0,0.0,0.0000,0.05,0.11,-0.21,-0.15,1,-0.0111,-0.137,0.147,25.00,1,144.8,0.6,0.14311,0.0,-0.0,-0.0010,-0.00800,OK
-0.1997,-0.2513,51.5,0,144.8,0.6,0.1425,144.8,0.6,0.1438,0.0,0.0,0.0000,-0.3,-0.1,0.0053,-0.3,-0.0,0,0.0,0.0,0.0000,-0.06,-0.19,0.06,-0.16,1,-0.0100,-0.127,0.157,26.00,1,144.8,0.6,0.14310,0.0,-0.0,-0.0016,-0.00804,OK
-0.1919,-0.2513,59.4,0,144.8,0.6,0.1425,144.8,0.6,0.1438,0.0,0.0,0.0000,-0.3,-0.1,0.0053,-0.3,-0.0,0,0.0,0.0,0.0000,0.06,0.05,0.03,-0.03,1,-0.0100,-0.127,0.157,25.00,1,144.8,0.6,0.14310,-0.0,-0.0,0.0003,-0.00826,OK
-0.1834,-0.2513,67.9,0,144.8,0.6,0.1425,144.8,0.6,0.1438,0.0,0.0,0.0000,-0.3,-0.1,0.0053,-0.3,-0.0,0,0.0,0.0,0.0000,0.29,-0.35,-0.08,0.33,1,-0.0067,-0.098,0.157,25.00,1,144.8,0.6,0.14311,0.0,0.0,0.0015,-0.00825,OK
-0.1754,-0.2513,75.9,0,144.8,0.6,0.1425,144.8,0.6,0.1438,0.0,0.0,0.0000,-0.3,-0.1,0.0053,-0.3,-0.0,0,0.0,0.0,0.0000,-0.12,-0.15,0.05,0.08,1,-0.0067,-0.108,0.157,24.00,1,144.8,0.6,0.14311,0.0,-0.0,-0.0004,-0.00808,OK
-0.1653,-0.1659,0.6,0,144.8,0.4,0.1397,144.8,0.6,0.1438,0.0,0.0,0.0000,-0.0,0.5,0.0163,0.0,0.5,0,0.0,0.0,0.0000,-0.22,0.11,0.23,0.21,1,-0.0056,-0.069,0.137,24.00,1,144.8,0.5,0.14140,-4.6,-7.9,-0.0357,-0.00790,OK
-0.1592,-0.1659,6.7,0,144.8,0.4,0.1397,144.8,0.6,0.1438,0.0,0.0,0.0000,-0.0,0.5,0.0163,0.0,0.5,0,0.0,0.0,0.0000,0.28,-0.22,-0.03,0.11,1,-0.0078,-0.059,0.157,25.00,1,144.8,0.5,0.14152,-5.3,9.5,0.0197,-0.00789,OK
-0.1511,-0.1584,7.3,0,144.6,0.6,0.1428,144.8,0.6,0.1438,0.0,0.0,0.0000,0.4,0.1,0.0041,0.4,0.1,0,0.0,0.0,0.0000,-0.24,0.30,-0.17,0.03,1,-0.0078,-0.059,0.157,24.00,1,144.6,0.6,0.14199,-0.6,0.5,-0.0003,-0.00787,OK
-0.1429,-0.1505,7.5,0,144.8,0.5,0.1416,144.8,0.6,0.1438,0.0,0.0,0.0000,-0.1,0.4,0.0088,-0.0,0.4,0,0.0,0.0,0.0000,-0.31,0.18,-0.20,-0.29,1,-0.0089,-0.196,0.216,25.00,1,144.8,0.5,0.14188,0.2,-0.2,-0.0030,-0.00774,OK
-0.1348,-0.1414,6.6,0,144.7,0.5,0.1418,144.8,0.6,0.1438,0.0,0.0,0.0000,0.2,0.2,0.0082,0.2,0.2,0,0.0,0.0,0.0000,-0.02,0.39,0.11,-0.28,1,-0.0078,-0.098,0.078,25.00,1,144.7,0.5,0.14184,-0.8,0.8,0.0003,-0.00777,OK
-0.1272,-0.1328,5.6,0,144.8,0.6,0.1426,144.8,0.6,0.1438,0.0,0.0,0.0000,-0.2,0.1,0.0051,-0.2,0.1,0,0.0,0.0,0.0000,-0.14,-0.10,-0.11,-0.05,1,-0.0011,-0.147,0.147,25.00,1,144.8,0.6,0.14199,6.8,2.4,0.0002,-0.00731,OK
